QUIZ1,QUIZ2,ASSIGNMENT,MIDSEM,ENDSEM
20,79.29,13.33,65,54.67
15,59.29,50,80,63.33
-25,73.57,36.67,40,72.67
30,82.14,46.67,0,58.67
50,75.71,60,15,52
15,77.14,33.33,60,53.33
65,70.71,40,50,46.67
45,70,6.67,20,66.67
40,70.71,36.67,45,54.67
50,65.71,30,0,67.33
-5,61.43,36.67,65,67.33
40,63.57,56.67,15,62.67
30,66.43,13.33,70,54.67
35,62.86,10,85,53.33
25,65.71,20,30,65.33
25,55.71,33.33,25,72
65,75,33.33,45,36.67
60,70.71,3.33,85,37.33
55,58.57,46.67,35,53.33
10,72.14,23.33,25,58.67
45,54.29,33.33,30,62
65,71.43,20,55,36
55,62.86,40,40,46.67
5,75,16.67,-5,63.33
40,66.43,36.67,45,44.67
55,47.14,23.33,60,54.67
45,53.57,36.67,70,42
-15,75.71,30,30,46
5,48.57,30,55,58.67
5,69.29,23.33,45,42.67
0,42.14,20,40,70.67
40,46.43,46.67,40,50
15,51.43,36.67,45,52.67
-40,68.57,43.33,30,50.67
15,50,33.33,10,60
20,66.43,40,-15,48
20,52.14,43.33,35,46.67
20,53.57,23.33,40,44
-15,73.57,36.67,0,41.33
0,60,6.67,45,43.33
-20,64.29,43.33,20,43.33
25,42.14,30,85,37.33
65,25.71,36.67,70,44.67
30,37.14,26.67,30,50.67
45,49.29,6.67,35,37.33
-20,53.57,33.33,85,32
70,0,40,25,67.33
45,47.86,43.33,50,20
15,50,-6.67,85,26
10,45,6.67,50,34
35,41.43,30,10,35.33
45,28.57,0,45,41.33
15,32.86,43.33,30,39.33
35,52.14,20,0,28.67
35,28.57,26.67,20,43.33
25,52.14,23.33,50,14.67
25,39.29,0,25,37.33
0,43.57,26.67,0,30
15,0,30,85,40
20,42.14,10,-10,20.67
55,22.14,10,0,18.67
65,17.86,0,0,12.67
-30,37.86,36.67,0,10.67
